product_id,name,regular_price,promo_price,brand,city
1000508320,Биойогурт питьевой Актибио Злаки 1.6% 260г,,64.99,Актибио,moscow
1000461714,Десерт фруктовый Яблоко клубника 2шт 200г,,79.99,Сила Традиции,moscow
1000581983,Плавленый продукт Рязанский колбасный копченый 25% 300г,,86.99,Рязанский ЗПС,moscow
1000395106,Пирожное бисквитное с кремом в глазури Скрепыши 30г,,55.99,Скрепыши,moscow
1829990038,Продукт творожный Даниссимо с сочным киви 5.5% 130г,,59.99,Даниссимо,moscow
1000323264,Творожный десерт Даниссимо со вкусом клубники 5.6% 130г,,59.99,Даниссимо,moscow
1000122024,Творог Савушкин Традиционный 9% 300г,,139.99,Савушкин Хуторок,moscow
1000186649,Сырок глазированный Советские традиции с вареной сгущенкой 26% 45г,,52.99,Советские Традиции,moscow
1000508295,Биойогурт питьевой Актибио чернослив 1.5% 870г,,146.99,Актибио,moscow
8000033680,Биойогурт Актибио манго-папайя без сахара 1.5% 260г,,69.99,Актибио,moscow
1000380541,Йогурт питьевой Epica Манго 2.5% 260мл,,69.99,Epica,moscow
1000571427,Молочный коктейль со вкусом Клубнично-манговый сорбет Angelato 2% 950г,,119.99,Angelato,moscow
3392940005,Сыр плавленый Hochland сливочный 55% 400г,399.99,289.99,Hochland,moscow
1000233190,Напиток овсяный Nemoloko Шоколадный 3.2% 1л,169.99,104.99,Nemoloko,moscow
8000038108,Плавленый сыр Классический 35% Viola 380г,319.99,239.99,Viola,moscow
1000318957,Сыр Сваля Тильзитер нарезка 45% 125г,219.99,159.99,Сваля,moscow
1000106287,Каша Увелка Овсяная Ассорти 5пак*40г,139.99,119.99,Увелка,moscow
1000222957,Йогурт питьевой Чудо ягодное мороженое 1.9% 260г,84.99,62.99,Чудо,moscow
1000181497,Йогурт Lactica Греческий 4% 120г,,74.99,Lactica,moscow
1000508300,Биойогурт питьевой Актибио Злаки 1.6% 870г,,146.0,Актибио,moscow
1000093975,Сырок творожный Ростагроэкспорт с изюмом 16.5% 90г,,54.99,А.Ростагрокомплекс,moscow
8000034109,Молоко Волоконовское сгущенное с сахаром вареное 8.5% 315г,,164.99,Волоконовское,moscow
1000500094,Сыр плавленый Hochland Гриль Чиз ломтики 40% 150г,159.99,129.99,Hochland,moscow
1000535923,Творог Parmalat безлактозный 5% 260г,,199.99,Parmalat,moscow
8000036544,Сыр Unagrande Моцарелла палочки протеиновый 35% 120г,279.99,169.99,Unagrande,moscow
1000524626,Кисломолочный продукт Актимуно Черника ежевика и цинк 1.5% 95г,,39.99,Actimuno,moscow
1000517493,Сыр плавленый Viola Классический с салями 35% 190г,199.99,139.99,Viola,moscow
3201860038,Молочный коктейль Чудо Клубника 2% 200мл,67.49,47.99,Чудо,moscow
1000026174,Овсяная каша Черника/Вишня Магнит 41г в ассортименте,,14.99,Магнит,moscow
1000222955,Десерт творожный Чудо Малина ежевика 4.2% 100г,74.99,52.99,Чудо,moscow
1000060573,Продукт плавленый Моя цена Дружба с сыром 50% 70г,,20.99,Моя цена,moscow
1000286638,Десерт творожный глазированный Ростагроэкспорт ванильный с варёной сгущенкой 15% 60г,,49.99,Ростагроэкспорт,moscow
1051242645,Молоко Агуша детское стерилизованное 3.2% 500мл,,89.99,Агуша,moscow
